시즌,팀명,총경기수,이긴경기,승률,공격종합_성공률,오픈_성공률,시간차_성공률,이동_성공률,후위_성공률,속공_성공률,퀵오픈_성공률,서브_성공률,디그_성공,세트_성공,리시브_정확,블로킹_성공
17-18,대한항공,43,28,65.11627906976744,37.10466307277628,24.010215633423183,10.759218328840971,0.0,18.014339622641508,14.624016172506739,21.541644204851753,0.18199460916442048,4.1617250673854445,5.482479784366577,3.881401617250674,0.9649595687331537
17-18,현대캐피탈,40,24,60.0,35.721385542168676,23.192198795180722,12.615481927710844,0.0,19.348222891566262,14.047771084337349,22.44382530120482,0.12849397590361447,3.75,4.945783132530121,3.605421686746988,1.0391566265060241
17-18,삼성화재,39,20,51.28205128205128,35.846242937853106,29.59677966101695,9.016016949152542,1.9774011299435028,12.693870056497175,11.831751412429377,17.12717514124294,0.10285310734463278,3.7711864406779663,5.245762711864407,3.9548022598870056,1.1440677966101696
17-18,KB손해보험,36,19,52.77777777777778,35.4287962962963,25.89296296296296,10.416666666666666,0.0,18.474413580246914,12.859783950617283,20.899135802469136,0.18993827160493826,3.654320987654321,4.62962962962963,3.382716049382716,0.8888888888888888
17-18,OK저축은행,36,10,27.77777777777778,39.65969491525424,28.561898305084746,16.758711864406777,0.6779661016949152,18.798745762711864,13.675016949152543,23.494237288135594,0.15105084745762712,3.7864406779661017,5.179661016949153,4.308474576271187,0.9152542372881356
17-18,한국전력,36,16,44.44444444444444,25.208148148148148,17.518176638176637,3.323846153846154,0.2849002849002849,11.309914529914531,8.685783475783476,17.486182336182335,0.11333333333333334,3.7236467236467234,4.3931623931623935,3.5042735042735043,0.8148148148148148
17-18,우리카드,36,16,44.44444444444444,34.96927710843373,22.43213855421687,9.718885542168675,0.30120481927710846,13.65132530120482,13.476957831325302,21.12180722891566,0.14536144578313254,3.716867469879518,5.192771084337349,3.3283132530120483,0.7560240963855421
18-19,현대캐피탈,41,29,70.73170731707317,34.38341207349082,21.02301837270341,7.349081364829396,0.0,18.316272965879264,13.469291338582678,23.09818897637795,0.18884514435695537,3.3963254593175853,4.551181102362205,3.561679790026247,1.094488188976378
18-19,대한항공,39,31,79.48717948717949,39.39298461538461,23.840984615384613,5.846153846153846,0.3076923076923077,20.002615384615385,15.951815384615385,22.981846153846156,0.1704,4.569230769230769,5.963076923076923,4.569230769230769,1.2338461538461538
18-19,우리카드,38,20,52.63157894736842,31.039595375722545,22.1307225433526,7.9961560693641625,0.0,16.63872832369942,11.625289017341041,19.471271676300578,0.13028901734104045,3.621387283236994,5.0,3.1358381502890174,1.0115606936416186
18-19,삼성화재,36,19,52.77777777777778,34.8895015576324,25.729470404984422,7.76221183800623,2.05607476635514,15.652367601246105,10.57398753894081,20.344454828660435,0.10853582554517135,3.4423676012461057,5.068535825545172,3.8598130841121496,1.02803738317757
18-19,OK저축은행,36,16,44.44444444444444,36.64936241610739,23.99748322147651,9.575,0.0,17.198758389261748,12.58503355704698,23.402046979865773,0.19077181208053692,3.2986577181208054,4.912751677852349,3.3422818791946307,0.9563758389261745
18-19,한국전력,36,3,8.333333333333332,30.67981366459627,20.061086956521738,9.347826086956522,0.6211180124223602,13.614782608695652,12.360714285714286,19.542981366459628,0.07751552795031057,3.7950310559006213,4.854037267080745,3.720496894409938,0.7204968944099379
18-19,KB손해보험,36,13,36.11111111111111,35.26065830721003,25.435297805642634,12.800438871473355,0.31347962382445144,18.20476489028213,13.449310344827586,21.196144200626957,0.12645768025078372,3.7554858934169277,5.181818181818182,3.833855799373041,0.799373040752351
19-20,KB손해보험,33,9,27.27272727272727,36.34784246575342,25.889520547945203,11.843630136986302,0.0,22.06585616438356,11.718630136986302,23.94684931506849,0.1047945205479452,4.208904109589041,5.311643835616438,3.5034246575342465,1.0171232876712328
19-20,현대캐피탈,32,19,59.375,34.1883,23.797833333333333,5.361133333333333,0.0,17.677166666666665,13.236266666666667,21.521633333333334,0.11950000000000001,3.9133333333333336,4.96,3.816666666666667,1.2733333333333334
19-20,삼성화재,32,15,46.875,34.70187074829932,25.970102040816325,6.292517006802721,0.0,12.782414965986396,11.750884353741498,20.36190476190476,0.09078231292517007,3.6564625850340136,4.282312925170068,2.445578231292517,0.7687074829931972
19-20,우리카드,32,25,78.125,33.68128919860627,20.151114982578395,12.456480836236935,0.0,17.37919860627178,13.348466898954705,19.8005574912892,0.1343554006968641,4.435540069686411,5.407665505226481,3.3797909407665507,0.9930313588850174
19-20,한국전력,32,6,18.75,32.31389655172414,21.007448275862068,10.890827586206896,0.0,11.626931034482759,11.960827586206896,18.691448275862072,0.08582758620689655,3.872413793103448,4.755172413793104,3.1482758620689655,0.8068965517241379
19-20,OK저축은행,32,14,43.75,36.17543624161074,25.058590604026847,9.64768456375839,0.0,15.231946308724831,12.666140939597316,21.613926174496644,0.1568456375838926,3.3859060402684564,4.422818791946309,2.9060402684563758,0.7751677852348994
19-20,대한항공,31,24,77.41935483870968,37.397935943060496,25.92544483985765,1.7793594306049823,0.0,20.56430604982206,14.704199288256229,22.99612099644128,0.18362989323843418,3.882562277580071,5.448398576512456,3.469750889679715,1.00355871886121
20-21,우리카드,43,26,60.46511627906976,30.43639618138425,18.665990453460623,13.86634844868735,0.0,13.899212410501194,12.323198090692124,17.69563245823389,0.11634844868735084,3.7231503579952268,4.921241050119332,2.863961813842482,0.7589498806682577
20-21,대한항공,41,32,78.04878048780488,35.79544198895028,23.957154696132598,0.9668508287292817,0.0,20.3657182320442,13.464723756906078,21.334972375690608,0.16991712707182322,4.45303867403315,5.516574585635359,3.5828729281767955,0.9834254143646409
20-21,OK금융그룹,39,19,48.717948717948715,32.149749373433586,20.799373433583963,4.093583959899749,0.0,17.113383458646616,11.084385964912281,20.425563909774436,0.11401002506265664,3.431077694235589,4.523809523809524,2.827067669172932,0.8596491228070176
20-21,KB손해보험,37,18,48.64864864864865,27.903777173913046,18.305163043478263,9.375,0.0,12.074565217391303,10.734619565217391,18.628505434782607,0.1356521739130435,3.5869565217391304,5.013586956521739,2.891304347826087,0.7418478260869565
20-21,삼성화재,36,5,13.88888888888889,31.72823529411765,22.8385,6.911764705882353,0.0,17.169176470588237,10.85264705882353,20.162058823529414,0.10829411764705882,3.461764705882353,4.829411764705882,3.111764705882353,0.788235294117647
20-21,한국전력,36,19,52.77777777777778,39.06593442622951,27.48872131147541,8.09288524590164,0.0,13.232163934426229,15.675409836065574,22.248918032786886,0.17026229508196722,4.586885245901639,5.416393442622951,3.7147540983606557,1.180327868852459
20-21,현대캐피탈,36,15,41.66666666666667,36.41147590361446,25.617560240963858,7.329307228915662,0.0,14.994246987951808,13.561445783132529,21.883463855421688,0.09713855421686747,3.8644578313253013,4.924698795180723,3.3313253012048194,1.0060240963855422
21-22,우리카드,29,16,55.172413793103445,29.376258992805756,19.120359712230215,10.86931654676259,0.0,12.518956834532373,11.580143884892086,17.92496402877698,0.12794964028776978,3.776978417266187,4.611510791366906,2.7050359712230216,0.9676258992805755
21-22,OK금융그룹,29,16,55.172413793103445,33.25526119402985,21.718432835820895,7.978880597014926,0.9328358208955224,17.107238805970148,9.834776119402985,22.530074626865673,0.14171641791044778,3.246268656716418,4.757462686567164,2.6902985074626864,0.7388059701492538
21-22,현대캐피탈,29,12,41.37931034482759,39.1834347826087,27.04017391304348,7.681173913043478,0.0,21.664304347826086,14.760130434782608,23.484782608695653,0.08434782608695653,4.2,5.886956521739131,4.069565217391304,1.008695652173913
21-22,KB손해보험,29,14,48.275862068965516,31.8487890625,19.68703125,7.649765625,0.0,16.5608984375,13.1887109375,19.519453125,0.18375,3.9921875,5.640625,2.68359375,0.78515625
21-22,대한항공,28,18,64.28571428571429,33.15119691119691,19.3496138996139,4.8906177606177605,0.0,19.314710424710427,12.172625482625483,19.681042471042474,0.14285714285714285,4.030888030888031,5.065637065637065,2.9343629343629343,0.8841698841698842
21-22,삼성화재,28,12,42.857142857142854,36.85133064516129,25.126370967741938,2.4193548387096775,0.0,16.66068548387097,13.136733870967742,21.486612903225808,0.1735483870967742,3.5806451612903225,4.991935483870968,2.818548387096774,0.8306451612903226
21-22,한국전력,28,12,42.857142857142854,36.66177685950413,26.649710743801652,12.396735537190084,0.0,15.819132231404959,12.948388429752066,22.4101652892562,0.1296694214876033,4.144628099173554,4.789256198347108,3.1074380165289255,1.1487603305785123
